data,status,ultima_execucao,erro
2017-03-14,processado,2026-04-23 18:40:21.272271,
2017-03-15,processado,2026-04-23 18:40:34.702142,
2017-03-16,processado,2026-04-23 18:40:51.856823,
2017-03-17,processado,2026-04-23 18:41:02.608583,
2017-03-18,processado,2026-04-23 18:41:29.028521,
2017-03-19,processado,2026-04-23 18:41:59.445171,
2017-03-20,erro,2026-04-23 18:42:53.426364,2017-03-20 sem dados válidos para age realizando 'contagem'
2017-03-21,erro,2026-04-23 18:43:43.147235,2017-03-21 sem dados válidos para age realizando 'contagem'
